geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.81772898311725, 144.95492814516257","{""coordinates"": [[[[144.955983227425, -37.817333789863], [144.95605354734, -37.817501332231], [144.95513618394, -37.817764581414], [144.953905942701, -37.818124633022], [144.953826372507, -37.817946628262], [144.954151976791, -37.817851961229], [144.954260282133, -37.81782282462], [144.954492542459, -37.817753551088], [144.955459974251, -37.817481135477], [144.955498772318, -37.817470210156], [144.955983227425, -37.817333789863]]]], ""type"": ""MultiPolygon""}",,,,20105,,,Complete,,,Little Collins Street between King Street and Spencer Street
"-37.82298592873937, 144.96751143503698","{""coordinates"": [[[[144.967263850601, -37.823205282502], [144.967430922992, -37.822652622046], [144.967765004965, -37.822716222757], [144.967569073293, -37.823363812786], [144.967263850601, -37.823205282502]]]], ""type"": ""MultiPolygon""}",,,,22086,,,Years 5 - 7,,,Sturt Street between Kavanagh Street and Southbank Boulevard
"-37.797243158602846, 144.96828947233774","{""coordinates"": [[[[144.967741974704, -37.797049708844], [144.968416350341, -37.797120610472], [144.968427029129, -37.797121731917], [144.968881440466, -37.797169505806], [144.968833857357, -37.797436558751], [144.968200900366, -37.797370963785], [144.968152564038, -37.79736550228], [144.96792780049, -37.797340114816], [144.967891782322, -37.797336046301], [144.96769726527, -37.797314073998], [144.967741974704, -37.797049708844]]]], ""type"": ""MultiPolygon""}",,,,20689,,,Complete,,,Elgin Street between Drummond Street and Lygon Street
"-37.80285497566619, 144.95793240342644","{""coordinates"": [[[[144.958019005439, -37.803854260944], [144.957130586021, -37.801912132143], [144.957762092503, -37.801712219275], [144.957894347305, -37.802004292493], [144.958516835137, -37.803355212828], [144.958522873296, -37.803366501108], [144.958785184431, -37.803936972767], [144.958019005439, -37.803854260944]]]], ""type"": ""MultiPolygon""}",,,,21115,,,Years 8 - 10,,,Elizabeth Street between Queensberry Street and Pelham Street
"-37.80745296242295, 144.9439377058137","{""coordinates"": [[[[144.943633666227, -37.807607675316], [144.943938695256, -37.807166008586], [144.944242925117, -37.807296702387], [144.944098559295, -37.80750485302], [144.944080219207, -37.80753129588], [144.94393436643, -37.807741587655], [144.943633666227, -37.807607675316]]]], ""type"": ""MultiPolygon""}",,,,21452,,,Complete,,,Abbotsford Street between Adderley Street and Ireland Street
"-37.79811804467858, 144.93704273953955","{""coordinates"": [[[[144.937102554533, -37.797966971976], [144.937173474883, -37.798150766072], [144.936974178687, -37.798268683791], [144.936972346163, -37.798269768243], [144.936919279636, -37.798079718154], [144.936945247329, -37.798064246622], [144.937102554533, -37.797966971976]]]], ""type"": ""MultiPolygon""}",,,,21308,,,Not determined by precinct plan,,,Intersection of Langford Street and Gracie Street
"-37.815853934750244, 144.96529858201754","{""coordinates"": [[[[144.964163211964, -37.816046299745], [144.964495610339, -37.815948345465], [144.964557294309, -37.815930168086], [144.964664675756, -37.815898523097], [144.964740800002, -37.815876090253], [144.966314506493, -37.815412317121], [144.966428793012, -37.815664890941], [144.965828989007, -37.815839592245], [144.965827058322, -37.815840154568], [144.965794674588, -37.81585047951], [144.965789516531, -37.815851996294], [144.965286485758, -37.815999839005], [144.965207843736, -37.816022951436], [144.964283712126, -37.816294549203], [144.964163211964, -37.816046299745]]]], ""type"": ""MultiPolygon""}",,,,20112,,,Years 5 - 7,,,Collins Street between Swanston Street and Elizabeth Street
"-37.80406375464736, 144.95337571705264","{""coordinates"": [[[[144.953467562686, -37.80361793792], [144.953431583911, -37.803821408245], [144.95342659188, -37.803849640937], [144.953406310426, -37.803961412753], [144.953429018213, -37.804053447975], [144.953349362119, -37.804499728948], [144.953280800018, -37.804492028112], [144.953355377834, -37.804046796212], [144.953338199761, -37.803971153949], [144.953362065407, -37.803844382186], [144.953367141566, -37.803815694964], [144.953401548767, -37.803621269484], [144.953389098369, -37.80360941892], [144.953467562686, -37.80361793792]]]], ""type"": ""MultiPolygon""}",,,,20967,,,Years 5 - 7,,,Warwick Street between Queensberry Street and Gardiner Street
"-37.79614891047857, 144.95296908081903","{""coordinates"": [[[[144.953230968732, -37.79630491353], [144.953568037199, -37.796493333497], [144.953432087473, -37.796645893213], [144.953095024174, -37.796456040076], [144.953055554234, -37.796441421844], [144.952715457837, -37.796015224559], [144.952683766344, -37.795988719729], [144.952388634778, -37.795755787358], [144.95255611024, -37.795626693858], [144.95284979584, -37.795861817573], [144.952878346794, -37.795885664268], [144.953196920873, -37.796286415391], [144.953230968732, -37.79630491353]]]], ""type"": ""MultiPolygon""}",,,,22321,,,Years 5 - 7,,,Story Street between Park Drive and Gatehouse Street
"-37.79975323541691, 144.94551568017013","{""coordinates"": [[[[144.945837020269, -37.79992418825], [144.945148349731, -37.799848629842], [144.945197299546, -37.799582453125], [144.945879747874, -37.799656803254], [144.945837020269, -37.79992418825]]]], ""type"": ""MultiPolygon""}",,,,21159,,,Years 8 - 10,,,O'Shanassy Street between Abbotsford Street and Lothian Street
"-37.82483533170003, 144.93612462960493","{""coordinates"": [[[[144.936145625252, -37.825057943851], [144.935840033711, -37.824807278915], [144.93608716361, -37.82461820034], [144.936416107977, -37.824850469227], [144.936145625252, -37.825057943851]]]], ""type"": ""MultiPolygon""}",,,,22558,,,Years 8 - 10,,,Intersection of Rogers Street and Ingles Street
"-37.81264268118308, 144.96101836063272","{""coordinates"": [[[[144.962037047528, -37.812201701162], [144.962153493065, -37.812459830695], [144.961293097301, -37.812708756236], [144.961255227927, -37.81271957343], [144.960899317657, -37.812822183372], [144.960829767189, -37.812845221452], [144.960812709446, -37.812850159173], [144.960432132465, -37.812960321314], [144.960389454221, -37.812972674343], [144.960246713484, -37.813013991672], [144.960183334384, -37.81303272862], [144.960008214647, -37.813083629269], [144.95988932871, -37.812820722455], [144.960715030948, -37.812584113049], [144.960781595598, -37.812565548128], [144.961746012101, -37.812286048625], [144.961789639415, -37.812273404223], [144.962037047528, -37.812201701162]]]], ""type"": ""MultiPolygon""}",,,,20009,,,Years 5 - 7,,,Lonsdale Street between Elizabeth Street and Queen Street
"-37.795087697230024, 144.97213440715856","{""coordinates"": [[[[144.97108889706, -37.795111205923], [144.971135060735, -37.79484590003], [144.972489045802, -37.794988731678], [144.972610191162, -37.795001875642], [144.973171703198, -37.795061523805], [144.973129230798, -37.795330732225], [144.973127203137, -37.795342260365], [144.973114807498, -37.795329169168], [144.972923875974, -37.795308480242], [144.972890948697, -37.795305696576], [144.972484097141, -37.795262444699], [144.972447238662, -37.795258400067], [144.971946485583, -37.795203448149], [144.971912181527, -37.79519968435], [144.971669852287, -37.795173090495], [144.97163798491, -37.795169592977], [144.971334615196, -37.795136327341], [144.97130015434, -37.795133150034], [144.971106571009, -37.795113041513], [144.971086401754, -37.795125121303], [144.97108889706, -37.795111205923]]]], ""type"": ""MultiPolygon""}",,,,20573,,,Years 5 - 7,,,Kay Street between Canning Street and Rathdowne Street
"-37.83333342840027, 144.98750015736366","{""coordinates"": [[[[144.987492725388, -37.833105204234], [144.987593007364, -37.833117009822], [144.987506912314, -37.833562505523], [144.987407677566, -37.833550441998], [144.987492725388, -37.833105204234]]]], ""type"": ""MultiPolygon""}",,,,22720,,,Not determined by precinct plan,,,Punt Road between The Righi and Witchwood Close
"-37.8073893041639, 144.94745137201784","{""coordinates"": [[[[144.94753788898, -37.807263626261], [144.947605093648, -37.807309631958], [144.947648413894, -37.807345138994], [144.947892437603, -37.80753771752], [144.947646398, -37.807724631717], [144.947332207866, -37.807486356616], [144.947173710432, -37.807368893023], [144.947010751958, -37.807255283268], [144.94723864191, -37.807052418617], [144.94753788898, -37.807263626261]]]], ""type"": ""MultiPolygon""}",,,,21435,,,Not determined by precinct plan,,,Spencer Street between Roden Street and Hawke Street
"-37.789450419528606, 144.92777055743014","{""coordinates"": [[[[144.927551435139, -37.789470107901], [144.927674832014, -37.789393859997], [144.927849508779, -37.78928592686], [144.927989520731, -37.789429179769], [144.927929234498, -37.78946643073], [144.927694363362, -37.789615785264], [144.927551435139, -37.789470107901]]]], ""type"": ""MultiPolygon""}",,,,23021,,,Years 5 - 7,,,Intersection of McCracken Street and Market Street
"-37.80481628956671, 144.96547735669512","{""coordinates"": [[[[144.96578137018, -37.804709797517], [144.965815138437, -37.804713366445], [144.966066599307, -37.804739939332], [144.966024322921, -37.805015539876], [144.965164587866, -37.80492038119], [144.964884249419, -37.804889239393], [144.964926361607, -37.804619440046], [144.965211702064, -37.804649595764], [144.965270571337, -37.804655817275], [144.96578137018, -37.804709797517]]]], ""type"": ""MultiPolygon""}",,,,22499,,,Years 5 - 7,,,Queensberry Street between Lygon Street and Cardigan Street
"-37.798453856491115, 144.97276059413306","{""coordinates"": [[[[144.972673895834, -37.797975141734], [144.972678357716, -37.797943208654], [144.972693764885, -37.797855301598], [144.973037350055, -37.797891849634], [144.973009753182, -37.798044674263], [144.973005918043, -37.79807287915], [144.972900801161, -37.798694355169], [144.972893642142, -37.798732306764], [144.972854307013, -37.798957620195], [144.972474213934, -37.799101373674], [144.972504591489, -37.798934510754], [144.97250880559, -37.798907865146], [144.97253814189, -37.798747966621], [144.972569859716, -37.798567919964], [144.972599887443, -37.79839011607], [144.972632347835, -37.798212140461], [144.972673895834, -37.797975141734]]]], ""type"": ""MultiPolygon""}",,,,20580,,,Complete,,,Canning Street between Faraday Street and Elgin Street
"-37.81085750421865, 144.94540256729766","{""coordinates"": [[[[144.945448170834, -37.81081859129], [144.945456514168, -37.810828622744], [144.945570207978, -37.810974786148], [144.945460443263, -37.811028173326], [144.945237383269, -37.810745218231], [144.945340072394, -37.810682852858], [144.945448170834, -37.81081859129]]]], ""type"": ""MultiPolygon""}",,,,21541,,,Complete,,,Railway Place between Rosslyn Street and Stanley Street
"-37.83007080042253, 144.986402987813","{""coordinates"": [[[[144.986440099545, -37.829425120532], [144.986647513962, -37.82961766075], [144.986644340992, -37.82961606643], [144.98664109304, -37.82961458795], [144.986637697436, -37.829613338447], [144.986634179969, -37.829612327413], [144.986630567358, -37.829611562525], [144.98662688704, -37.829611049594], [144.986623166971, -37.829610792516], [144.986619435404, -37.829610793244], [144.986615720684, -37.829611051771], [144.986612051025, -37.829611566135], [144.986608454299, -37.829612332427], [144.986604957826, -37.829613344829], [144.986601588163, -37.829614595651], [144.986598370903, -37.829616075391], [144.986595330484, -37.829617772811], [144.986592489998, -37.829619675018], [144.98658987102, -37.829621767564], [144.986587493443, -37.829624034555], [144.986585375325, -37.829626458773], [144.986583532755, -37.829629021803], [144.986581979726, -37.82963170418], [144.986580816275, -37.829634507627], [144.986373585574, -37.830665047771], [144.986199878494, -37.830642683321], [144.986395977895, -37.829668024359], [144.986400785897, -37.829641206458], [144.986440099545, -37.829425120532]]]], ""type"": ""MultiPolygon""}",,,,22273,,,Complete,,,Walsh Street between Clowes Street and Alexandra Avenue
"-37.809980494973246, 144.9901602278629","{""coordinates"": [[[[144.990273956923, -37.810081232921], [144.990246704217, -37.810077983143], [144.989119439069, -37.809960453697], [144.989147126848, -37.809795891617], [144.990302304248, -37.809920573096], [144.990488795423, -37.809940880013], [144.990627495689, -37.809951078557], [144.990766617997, -37.809952802254], [144.990905304468, -37.80994490416], [144.991041902388, -37.809925214416], [144.991056252086, -37.809921638657], [144.991069994313, -37.80991678345], [144.991083146892, -37.809911000349], [144.991095611378, -37.809904332639], [144.99110729448, -37.809896830225], [144.991118108755, -37.80988854926], [144.99112797326, -37.809879551724], [144.991136286993, -37.809869625829], [144.991069566507, -37.810167875877], [144.990273956923, -37.810081232921]]]], ""type"": ""MultiPolygon""}",,,,22000,,,Complete,,,Victoria Parade between Hoddle Street and Simpson Street
"-37.79367134082352, 144.9310808666905","{""coordinates"": [[[[144.931330334057, -37.792952601649], [144.931053289228, -37.794454254552], [144.930822096455, -37.794431163506], [144.930823956244, -37.794364509313], [144.930817049236, -37.794318072122], [144.930781332465, -37.794182129698], [144.930808572071, -37.794178130373], [144.930844074317, -37.794172918147], [144.930855358481, -37.794229149601], [144.930855792579, -37.794231717849], [144.930856473556, -37.79423425253], [144.930857425767, -37.794236733198], [144.930858642175, -37.794239141522], [144.930860113792, -37.794241459706], [144.930861829742, -37.794243670618], [144.930863777345, -37.794245757921], [144.93086594221, -37.794247706191], [144.930868308338, -37.794249501029], [144.930870858244, -37.794251129174], [144.930873573086, -37.794252578593], [144.930876432801, -37.794253838577], [144.930879416258, -37.794254899813], [144.930882479595, -37.794255813324], [144.93089713551, -37.794176749491], [144.930897984077, -37.794173343707], [144.930899270339, -37.794170026325], [144.930900925498, -37.794166815778], [144.930902936336, -37.794163737709], [144.930905286794, -37.7941608167], [144.930907958098, -37.794158076079], [144.930910928915, -37.794155537736], [144.930914302898, -37.794153344829], [144.930928392715, -37.794146587551], [144.930932212484, -37.794144869901], [144.930935721112, -37.794142772199], [144.930938982238, -37.794140437043], [144.930941970784, -37.794137882391], [144.930944663773, -37.794135127884], [144.930947040495, -37.794132194705], [144.930949082677, -37.794129105405], [144.930950774615, -37.79412588374], [144.9309521033, -37.794122554482], [144.930952994478, -37.794119133853], [144.931040041735, -37.793654687696], [144.931041486861, -37.793646293026], [144.931041872315, -37.793637814762], [144.931041345053, -37.793629335377], [144.93103990892, -37.793620916682], [144.931037574384, -37.793612620045], [144.931034358462, -37.793604505947], [144.931030284599, -37.793596633535], [144.93102538249, -37.793589060197], [144.93101968787, -37.79358184114], [144.931013242251, -37.793575028987], [144.931006092619, -37.793568673397], [144.930998291092, -37.793562820699], [144.93098989454, -37.793557513557], [144.930980964171, -37.793552790658], [144.930971565083, -37.793548686431], [144.930961765793, -37.793545230794], [144.930951637733, -37.793542448936], [144.930941288938, -37.793540225792], [144.930915246316, -37.793351501272], [144.930924346218, -37.793352562666], [144.93093350426, -37.793353120351], [144.930942682424, -37.79335305482], [144.930951813504, -37.793352366554], [144.930960830639, -37.793351060592], [144.930969667804, -37.793349146497], [144.930978260289, -37.793346638284], [144.930986545177, -37.793343554319], [144.930994461803, -37.793339917185], [144.9310019522, -37.793335753513], [144.93100896152, -37.793331093791], [144.931015438439, -37.79332597214], [144.931021335531, -37.793320426061], [144.931026609614, -37.793314496165], [144.931031222071, -37.793308225873], [144.931034857578, -37.793301565284], [144.931105174705, -37.792929352243], [144.931330334057, -37.792952601649]]]], ""type"": ""MultiPolygon""}",,,,23071,,,Not determined by precinct plan,,,Rankins Road between Robertson Street and Macaulay Road
"-37.82498102834262, 144.96417476051832","{""coordinates"": [[[[144.963702570856, -37.824811799985], [144.963844614219, -37.824690688436], [144.963936994005, -37.824611922884], [144.964616159874, -37.825089782287], [144.964483422903, -37.825207006685], [144.96437104811, -37.825306247688], [144.963702570856, -37.824811799985]]], [[[144.96437104811, -37.825306247688], [144.964538154634, -37.82542984822], [144.964434690897, -37.825517857896], [144.96437104811, -37.825306247688]]]], ""type"": ""MultiPolygon""}",,,,22873,,,Complete,,,Power Street between Kavanagh Street and Southern Link Road
"-37.82160461115375, 144.9679249090959","{""coordinates"": [[[[144.967547341516, -37.822270352567], [144.967601323701, -37.822091718905], [144.967614465855, -37.822048231545], [144.967891402779, -37.82113180387], [144.967833536773, -37.821096929047], [144.968383112559, -37.820913694127], [144.968365461229, -37.820921650631], [144.968349269272, -37.820931383488], [144.968334285587, -37.820942263724], [144.968320637103, -37.820954199172], [144.96830843944, -37.820967088724], [144.968297795926, -37.820980823191], [144.968288796723, -37.820995286226], [144.968281518065, -37.821010355309], [144.968276381497, -37.821025971016], [144.968266520886, -37.821058562201], [144.967938724876, -37.822142035395], [144.967934974321, -37.82215443392], [144.967547341516, -37.822270352567]]]], ""type"": ""MultiPolygon""}",,,,22085,,,Years 5 - 7,,,Sturt Street between City Road and Kavanagh Street
"-37.79795861492896, 144.94635431844384","{""coordinates"": [[[[144.946465951901, -37.79831235915], [144.946462483854, -37.798331865], [144.94611879748, -37.798296265045], [144.946248311819, -37.797582545163], [144.946588675435, -37.797622078977], [144.946465951901, -37.79831235915]]]], ""type"": ""MultiPolygon""}",,,,22517,,,Complete,,,Abbotsford Street between Haines Street and Wood Street
"-37.80922156207639, 144.93265164678806","{""coordinates"": [[[144.933140838944, -37.80949372891], [144.932569548246, -37.809418711771], [144.931946977147, -37.809357762422], [144.931477969714, -37.809341773388], [144.931592401432, -37.809489237208], [144.930815002303, -37.809410810792], [144.929970009342, -37.809325558673], [144.92975334614, -37.809147692781], [144.929714222872, -37.80915141977], [144.92959017989, -37.809003932062], [144.929575254325, -37.809011833343], [144.929556345563, -37.808989350066], [144.929538647547, -37.808958818983], [144.929554948582, -37.808952871302], [144.929472771001, -37.808811100367], [144.929479503647, -37.808784696365], [144.929379330157, -37.808569810468], [144.933228082926, -37.808960670435], [144.933257523995, -37.808963659996], [144.933801719386, -37.809018915038], [144.934329022128, -37.809072451885], [144.93432862247, -37.80907493211], [144.934564758318, -37.809100605209], [144.934800312563, -37.809129446541], [144.935035217687, -37.809161447841], [144.935169165233, -37.809181154658], [144.93530286617, -37.809201888991], [144.935436307979, -37.8092236489], [144.935486295435, -37.809232075555], [144.93553624401, -37.809240646127], [144.935586153046, -37.809249360505], [144.935605123661, -37.80925271247], [144.935624088425, -37.809256085212], [144.935643047302, -37.809259478725], [144.935754417512, -37.809279759202], [144.935849239511, -37.809496623267], [144.935700835243, -37.809975153212], [144.935620260128, -37.809959569738], [144.935539563318, -37.809944387861], [144.935458747993, -37.80992960818], [144.935369751338, -37.809913821983], [144.935280619482, -37.809898523535], [144.93519135667, -37.809883713563], [144.935115272889, -37.809871491958], [144.935039099924, -37.809859625241], [144.934962840402, -37.809848113819], [144.934942250826, -37.809845068861], [144.934921655193, -37.809842049804], [144.934901053554, -37.809839056654], [144.934807360612, -37.809825782139], [144.934713549588, -37.809813043461], [144.934619625349, -37.809800841279], [144.934599441511, -37.809798291091], [144.934556240177, -37.80979291776], [144.934513016667, -37.809787657906], [144.934469771453, -37.809782511586], [144.934562412849, -37.809679974606], [144.934249146262, -37.809638972183], [144.93402415962, -37.809609430753], [144.933891406421, -37.809592051911], [144.933460216261, -37.809535549837], [144.933362776186, -37.809522821987], [144.933357979774, -37.809552139452], [144.93334144437, -37.809550407364], [144.933329153373, -37.809624538353], [144.933346029387, -37.809626276421], [144.93333945903, -37.80966707072], [144.933111265089, -37.809643920944], [144.933140838944, -37.80949372891]], [[144.933800691767, -37.809370662429], [144.933686055028, -37.809383880641], [144.933701033076, -37.809465879806], [144.933815667405, -37.809452752557], [144.933800691767, -37.809370662429]], [[144.933733284553, -37.809067045265], [144.933641096722, -37.809077682593], [144.933656185668, -37.80915977473], [144.933748260094, -37.809149134501], [144.933733284553, -37.809067045265]], [[144.933601805649, -37.809350140226], [144.933498451217, -37.809362023351], [144.933512643832, -37.80943959391], [144.933615998396, -37.809427709875], [144.933601805649, -37.809350140226]], [[144.933452467827, -37.809043732441], [144.933440175574, -37.809126064096], [144.933549615278, -37.809136275513], [144.933561907413, -37.809053943843], [144.933452467827, -37.809043732441]], [[144.933382718787, -37.809320881349], [144.933368681188, -37.809388403134], [144.933453787893, -37.809399540239], [144.933467825442, -37.80933201754], [144.933382718787, -37.809320881349]], [[144.933297262502, -37.809021001554], [144.933281562134, -37.809107419667], [144.933364106796, -37.80911693932], [144.933379917718, -37.809030463657], [144.933297262502, -37.809021001554]], [[144.933231653155, -37.809328863782], [144.93321806703, -37.80939648359], [144.933285752727, -37.809405061207], [144.933303294808, -37.809407351675], [144.933316880857, -37.809339731856], [144.933282699953, -37.80933534701], [144.933231653155, -37.809328863782]]], ""type"": ""Polygon""}",,,,23230,,,Not determined by precinct plan,,,Footscray Road between Pearl River Road and Appleton Dock Road
"-37.83934621930529, 144.98625791147398","{""coordinates"": [[[[144.986208084247, -37.839310930717], [144.986317908667, -37.839325059926], [144.986306348129, -37.839381569559], [144.98619921983, -37.839367786551], [144.986208084247, -37.839310930717]]]], ""type"": ""MultiPolygon""}",,,,22748,,,Not determined by precinct plan,,,Intersection of Punt Road and Park Place
"-37.82442677948295, 144.93561438158466","{""coordinates"": [[[[144.935840033711, -37.824807278915], [144.935447061451, -37.824484935657], [144.935141898955, -37.824234860423], [144.935387202486, -37.824046042349], [144.93608716361, -37.82461820034], [144.935840033711, -37.824807278915]]]], ""type"": ""MultiPolygon""}",,,,22132,,,Years 8 - 10,,,Ingles Street between Rogers Street and Turner Street
"-37.79422679499566, 144.92823354722663","{""coordinates"": [[[[144.927817963434, -37.794091197682], [144.928758610956, -37.79419271684], [144.928628697109, -37.794364198894], [144.927716829344, -37.794259339794], [144.927817963434, -37.794091197682]]]], ""type"": ""MultiPolygon""}",,,,21688,,,Not determined by precinct plan,,,Macaulay Road between Henry Street and Kensington Road
"-37.84898792554155, 144.9803715346786","{""coordinates"": [[[[144.980975275956, -37.850156417463], [144.9806028281, -37.85010881877], [144.97981208903, -37.847941015234], [144.979768164601, -37.847820555805], [144.980139749197, -37.847865864042], [144.980975275956, -37.850156417463]]]], ""type"": ""MultiPolygon""}",,,,22478,,,Not determined by precinct plan,,,St Kilda Road between Moubray Street and High Street
