geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.808861406008724, 144.97188567139526","{""coordinates"": [[[[144.972229116934, -37.809218560945], [144.971910080095, -37.809310885785], [144.97154384674, -37.808501225335], [144.971857581764, -37.808410434048], [144.972193752359, -37.809141640211], [144.972229116934, -37.809218560945]]]], ""type"": ""MultiPolygon""}",,,,21848,,,Years 5 - 7,,,Spring Street between Lonsdale Street and Little Lonsdale Street
"-37.812441727775855, 144.96933309041253","{""coordinates"": [[[[144.969769917752, -37.812457725282], [144.968320460417, -37.812885994393], [144.968198959934, -37.81263165676], [144.968842944805, -37.812442687829], [144.968870043418, -37.812434685109], [144.969454305569, -37.812260668562], [144.969515720889, -37.812243433731], [144.97035381073, -37.811994748054], [144.970457345165, -37.812254604512], [144.969937472746, -37.812408216987], [144.969769917752, -37.812457725282]]]], ""type"": ""MultiPolygon""}",,,,20078,,,Complete,,,Bourke Street between Exhibition Street and Russell Street
"-37.80067256980209, 144.9472008452143","{""coordinates"": [[[[144.948364367388, -37.800665487007], [144.948313273423, -37.800933596835], [144.946046526674, -37.800683238324], [144.946092525563, -37.800409683213], [144.946103767181, -37.800410948975], [144.948364367388, -37.800665487007]]]], ""type"": ""MultiPolygon""}",,,,21061,,,Not determined by precinct plan,,,Arden Street between Curzon Street and Abbotsford Street
"-37.813524755542886, 144.95580894305402","{""coordinates"": [[[[144.956039128758, -37.813935297924], [144.955994984118, -37.813947271527], [144.955888830778, -37.81371700705], [144.95576028888, -37.813754780442], [144.955746669737, -37.813725803728], [144.955855091231, -37.813693942419], [144.955601502967, -37.81315005233], [144.955664672041, -37.813131808064], [144.955679670149, -37.81316419985], [144.955682625525, -37.813163346381], [144.956039128758, -37.813935297924]]]], ""type"": ""MultiPolygon""}",,,,20407,,,Years 5 - 7,,,Healeys Lane between Little Lonsdale Street and Lonsdale Street
"-37.824521678895685, 144.94024706473152","{""coordinates"": [[[[144.939880443948, -37.825209341561], [144.94027806428, -37.823784323791], [144.940609739356, -37.823854064754], [144.940223183948, -37.82523944732], [144.939880443948, -37.825209341561]]]], ""type"": ""MultiPolygon""}",,,,22124,,,Years 5 - 7,,,Hartley Street between Lorimer Street and Westgate Freeway
"-37.78898772090543, 144.92965849006353","{""coordinates"": [[[[144.929922635036, -37.789566387279], [144.929677443762, -37.789538092539], [144.929434567164, -37.788486482318], [144.929366391992, -37.788313087287], [144.929330343669, -37.788279465102], [144.929489011017, -37.788296340017], [144.929546029831, -37.788469283819], [144.929578050644, -37.788603834271], [144.929698555888, -37.788617594037], [144.929922635036, -37.789566387279]]]], ""type"": ""MultiPolygon""}",,,,22993,,,Years 8 - 10,,,Eastwood Street between Racecourse Road and Parsons Street
"-37.818426013321485, 144.94867128095797","{""coordinates"": [[[[144.949003474342, -37.818475050684], [144.948791979977, -37.818536236465], [144.948663750459, -37.818573332397], [144.948326685969, -37.818670843896], [144.947216145172, -37.818992110047], [144.947016493624, -37.818762182302], [144.947013858652, -37.818759701388], [144.950068506064, -37.81787601028], [144.950093363906, -37.817824522846], [144.950349692321, -37.818165164408], [144.950207049973, -37.818126846968], [144.949550229242, -37.818316872349], [144.949403490929, -37.818359325066], [144.949003474342, -37.818475050684]]]], ""type"": ""MultiPolygon""}",,,,22553,,,Complete,,,Bourke Street between Wurundjeri Way and Harbour Esplanade
"-37.798416946855234, 144.9577107030033","{""coordinates"": [[[[144.958101241018, -37.798038183586], [144.957907303254, -37.799622198375], [144.957228508962, -37.799545916682], [144.957514338861, -37.797210393025], [144.95819290884, -37.797289440083], [144.95810958122, -37.797970064916], [144.958101241018, -37.798038183586]]]], ""type"": ""MultiPolygon""}",,,,22514,,,Not determined by precinct plan,,,Royal Parade between Grattan Street and Story Street
"-37.7874835741198, 144.94282095360984","{""coordinates"": [[[[144.94258415384, -37.787788823319], [144.942571910787, -37.78777910924], [144.942449557052, -37.787682031009], [144.942437314034, -37.787672316918], [144.942461790749, -37.787672308363], [144.943080383594, -37.787180683366], [144.943185427454, -37.787291517907], [144.942584144486, -37.787769386581], [144.94258415384, -37.787788823319]]]], ""type"": ""MultiPolygon""}",,,,22411,,,Years 8 - 10,,,St Georges Grove from Manningham Street
"-37.805712455127555, 144.94841754585084","{""coordinates"": [[[[144.948083309782, -37.805833743865], [144.94845187029, -37.805488643321], [144.948706485692, -37.805665438576], [144.948551272832, -37.805812105332], [144.948532665459, -37.805829687513], [144.948480507821, -37.805878972484], [144.948083309782, -37.805833743865]]]], ""type"": ""MultiPolygon""}",,,,21359,,,Complete,,,Hawke Street between Miller Street and King Street
"-37.79674853330267, 144.93935194529462","{""coordinates"": [[[[144.939444390386, -37.796805633868], [144.939415891131, -37.796831566665], [144.93896353352, -37.797104826218], [144.938804621854, -37.796960173011], [144.939749088581, -37.796390835305], [144.939905357993, -37.796531368624], [144.939444390386, -37.796805633868]]]], ""type"": ""MultiPolygon""}",,,,21291,,,Years 5 - 7,,,Gracie Street between Henderson Street and MacAulay Road
"-37.811139060394744, 144.96406312182165","{""coordinates"": [[[[144.96414755397, -37.811380050394], [144.964132696948, -37.81134074465], [144.96406113913, -37.811191281034], [144.964021404526, -37.811118535045], [144.96395244599, -37.810978253333], [144.963935350312, -37.810934439921], [144.963849798725, -37.810751083379], [144.963904491982, -37.810734131754], [144.964284069896, -37.811549121022], [144.964234502634, -37.811564701532], [144.96414755397, -37.811380050394]]]], ""type"": ""MultiPolygon""}",,,,20330,,,Years 5 - 7,,,Drewery Lane between Lonsdale Street and Little Lonsdale Street
"-37.79231258961853, 144.95846242582408","{""coordinates"": [[[[144.958173757633, -37.791854431163], [144.958856123588, -37.791905791532], [144.958804144944, -37.792340722051], [144.958752816504, -37.792770198136], [144.958067260515, -37.792718597032], [144.95808059404, -37.792610192104], [144.958115341664, -37.792327685874], [144.958124045432, -37.792257177208], [144.958173757633, -37.791854431163]]]], ""type"": ""MultiPolygon""}",,,,22372,,,Not determined by precinct plan,,,Intersection of Royal Parade and Gatehouse Street
"-37.818201109782954, 144.9551558146944","{""coordinates"": [[[[144.954066941801, -37.818465164571], [144.956214642789, -37.817847747311], [144.956252355559, -37.817933544874], [144.954108655299, -37.818552456161], [144.954066941801, -37.818465164571]]]], ""type"": ""MultiPolygon""}",,,,20433,,,Years 8 - 10,,,Francis Street between King Street and Spencer Street
"-37.81171610548673, 144.9718035266653","{""coordinates"": [[[[144.971231087202, -37.811736854595], [144.971289851936, -37.81171927577], [144.971550487601, -37.811644570464], [144.97161049913, -37.811627085049], [144.972129173518, -37.811476704886], [144.972173605967, -37.811463822647], [144.972821273231, -37.811276038677], [144.972939746477, -37.811532383326], [144.97253503469, -37.811648958028], [144.97246982463, -37.811667967512], [144.972112116912, -37.8117712016], [144.972054827817, -37.811787786119], [144.971666032236, -37.811899992647], [144.971587647895, -37.811922720054], [144.971226349797, -37.812027474737], [144.971207156128, -37.812033039541], [144.970781341727, -37.812158860107], [144.970670261728, -37.811901153856], [144.971231087202, -37.811736854595]]]], ""type"": ""MultiPolygon""}",,,,20065,,,Years 5 - 7,,,Bourke Street between Spring Street and Exhibition Street
"-37.784620276451356, 144.95809489764252","{""coordinates"": [[[[144.957149766846, -37.784412646195], [144.958090339704, -37.784484309635], [144.958157808937, -37.784488038668], [144.959068849864, -37.784564237944], [144.959035480296, -37.784827923287], [144.95812344107, -37.784757762335], [144.958053724517, -37.784751184441], [144.957131942778, -37.784682003127], [144.957149766846, -37.784412646195]]]], ""type"": ""MultiPolygon""}",,,,22382,,,Years 8 - 10,,,Walker Street between Royal Parade and The Avenue
"-37.8361759262284, 144.9839671072711","{""coordinates"": [[[[144.983526457344, -37.837856941171], [144.984238224193, -37.834461901198], [144.984425503624, -37.83448495609], [144.98440562732, -37.834496340995], [144.98435940277, -37.8347179346], [144.983699708678, -37.837880437404], [144.983526457344, -37.837856941171]]]], ""type"": ""MultiPolygon""}",,,,22241,,,Years 5 - 7,,,Marne Street between Toorak Road and Domain Road
"-37.79531767310794, 144.97087994697014","{""coordinates"": [[[[144.971086401754, -37.795125121303], [144.971009290544, -37.79555530817], [144.971008389168, -37.795560650152], [144.970672528392, -37.795524383518], [144.970749421015, -37.795075942439], [144.97108889706, -37.795111205923], [144.971086401754, -37.795125121303]]]], ""type"": ""MultiPolygon""}",,,,20569,,,Complete,,,Rathdowne Street between Pitt Street and Kay Street
"-37.83536352859953, 144.98708447613043","{""coordinates"": [[[[144.98713770884, -37.834898833077], [144.987225801735, -37.834913705472], [144.987033493592, -37.835823159453], [144.986942568622, -37.835811066368], [144.98713770884, -37.834898833077]]]], ""type"": ""MultiPolygon""}",,,,22742,,,Not determined by precinct plan,,,Punt Road between Domain Road and Tivoli Place
"-37.80142254275611, 144.96680990423678","{""coordinates"": [[[[144.96707648029, -37.800890988462], [144.966889064694, -37.801984435301], [144.966539767836, -37.801946739569], [144.966693861705, -37.801089042949], [144.96670212563, -37.801048614598], [144.966735872391, -37.800857929426], [144.96707648029, -37.800890988462]]]], ""type"": ""MultiPolygon""}",,,,20530,,,Years 1 - 4,,,Lygon Street between Argyle Place North and Grattan Street
"-37.800342738753244, 144.95087640987964","{""coordinates"": [[[[144.951449690223, -37.800266750094], [144.951409037891, -37.800535780217], [144.950949870483, -37.800487331505], [144.950904679541, -37.800482814306], [144.950540580196, -37.80044288154], [144.950496527363, -37.800438485824], [144.95027561723, -37.800413748072], [144.950261470482, -37.80042217205], [144.950263137826, -37.800412350318], [144.95039344849, -37.800148420059], [144.95104337311, -37.800221064025], [144.951116767407, -37.800229200752], [144.951449690223, -37.800266750094]]]], ""type"": ""MultiPolygon""}",,,,21144,,,Years 8 - 10,,,O'Shanassy Street between Leveson Street and Errol Street
"-37.795580349019865, 144.94012065166558","{""coordinates"": [[[[144.940152148845, -37.795479657101], [144.94027031143, -37.795493070517], [144.940215348845, -37.795762638366], [144.940034764139, -37.7956527914], [144.939922966294, -37.795453757805], [144.940086519558, -37.795472208145], [144.940152148845, -37.795479657101]]]], ""type"": ""MultiPolygon""}",,,,21323,,,Not determined by precinct plan,,,Intersection of Canning Street and Vaughan Terrace
"-37.79955682476081, 144.92738090781313","{""coordinates"": [[[[144.927326095623, -37.799677415567], [144.927232424997, -37.799732221731], [144.927002599571, -37.799697829257], [144.927190120341, -37.799588014913], [144.927596643034, -37.799346616372], [144.927700544717, -37.799458324818], [144.927448597651, -37.799605739437], [144.927326095623, -37.799677415567]]]], ""type"": ""MultiPolygon""}",,,,21735,,,Not determined by precinct plan,,,Tennyson Street between Altona Street and Childers Street
"-37.809732722165776, 144.95829630906886","{""coordinates"": [[[[144.958072514848, -37.809639959082], [144.958391648505, -37.809547907078], [144.958519599716, -37.80982711534], [144.958200801849, -37.80991654657], [144.958072514848, -37.809639959082]]]], ""type"": ""MultiPolygon""}",,,,21636,,,Years 5 - 7,,,Queen Street between A'Beckett Street and Franklin Street
"-37.81041992855922, 144.9782251037023","{""coordinates"": [[[[144.977981569524, -37.810854013887], [144.978125713036, -37.809954304859], [144.978473002352, -37.809989844144], [144.978469605912, -37.810009631589], [144.978318412052, -37.810890409735], [144.977981569524, -37.810854013887]]]], ""type"": ""MultiPolygon""}",,,,21850,,,Years 8 - 10,,,Lansdowne Street between Cathedral Place and Albert Street
"-37.80245663856854, 144.96663567059488","{""coordinates"": [[[[144.966843327548, -37.802251279287], [144.966766663462, -37.802698547589], [144.966427925532, -37.802661903437], [144.966504757936, -37.802214741017], [144.966843327548, -37.802251279287]]]], ""type"": ""MultiPolygon""}",,,,20528,,,Years 1 - 4,,,Lygon Street between Pelham Street and Argyle Place North
"-37.81335760252319, 144.9585450785322","{""coordinates"": [[[[144.959553216833, -37.812919316838], [144.959684768178, -37.813173611019], [144.95949372471, -37.813228869716], [144.959459672072, -37.813238718818], [144.958593648111, -37.813489209333], [144.958541131188, -37.813504398331], [144.95753366274, -37.813795787718], [144.957403577838, -37.81354312977], [144.958274731588, -37.813290331786], [144.958298740609, -37.813283364764], [144.958799059952, -37.813138174106], [144.958857720194, -37.813121151251], [144.959553216833, -37.812919316838]]]], ""type"": ""MultiPolygon""}",,,,20011,,,Years 5 - 7,,,Lonsdale Street between Queen Street and William Street
"-37.78981429775527, 144.92575586914987","{""coordinates"": [[[[144.92605250231, -37.789997063803], [144.926114774304, -37.79006233929], [144.926138479535, -37.790087186645], [144.926230929817, -37.790273643536], [144.926238366756, -37.790281438973], [144.926095128684, -37.79036994245], [144.926071169658, -37.790344828376], [144.925978719702, -37.79015837137], [144.92593301279, -37.790110459377], [144.925922732837, -37.790099685039], [144.925881617647, -37.790056585955], [144.925871337709, -37.790045811612], [144.925610937705, -37.789772852134], [144.925600657845, -37.78976207777], [144.925559543025, -37.789718978582], [144.925549263205, -37.789708203313], [144.925319736725, -37.789467604754], [144.925225298468, -37.789368610709], [144.925368486984, -37.78928005783], [144.925474731948, -37.789391427384], [144.92605250231, -37.789997063803]]]], ""type"": ""MultiPolygon""}",,,,23016,,,Years 8 - 10,,,Liddy Street between Market Street and Youlden Street
"-37.82387301975943, 144.92280012682724","{""coordinates"": [[[[144.923896532877, -37.823950694821], [144.922945663375, -37.823971739499], [144.921811031546, -37.824121504626], [144.921714671696, -37.82380195701], [144.921936044085, -37.823828151293], [144.922913888848, -37.823698616812], [144.92381261964, -37.823678311085], [144.923896532877, -37.823950694821]]]], ""type"": ""MultiPolygon""}",,,,22148,,,Years 8 - 10,,,Turner Street between Salmon Street and Douglas Street
"-37.79288637058175, 144.9414659714688","{""coordinates"": [[[[144.941478801583, -37.792520541798], [144.941579661696, -37.792531720198], [144.941454650691, -37.793249806068], [144.941390895324, -37.793242744777], [144.941351653053, -37.793238399137], [144.941357649772, -37.793204543161], [144.941368711379, -37.793142089499], [144.941397946138, -37.792977034744], [144.941410857727, -37.792904143555], [144.941440092274, -37.792739088778], [144.941451155111, -37.792676626112], [144.941478801583, -37.792520541798]]]], ""type"": ""MultiPolygon""}",,,,23133,,,Years 5 - 7,,,Pearl Street between Sutton Street and Willow Ware Close
"-37.78788636619323, 144.92630257785376","{""coordinates"": [[[[144.925268665539, -37.787704044072], [144.927366728412, -37.787929834588], [144.927343105529, -37.788068096963], [144.925244601841, -37.787844857553], [144.925268665539, -37.787704044072]]]], ""type"": ""MultiPolygon""}",,,,23146,,,Years 5 - 7,,,Racecourse Road between Calwell Street and Smithfield Road
"-37.796037469666786, 144.93771376596612","{""coordinates"": [[[[144.936826905081, -37.796008685246], [144.936807078993, -37.795866547099], [144.93862113086, -37.796068866194], [144.93859790283, -37.796206673685], [144.936826905081, -37.796008685246]]]], ""type"": ""MultiPolygon""}",,,,21316,,,Not determined by precinct plan,,,Steel Street between Boundary Road and Langford Street
"-37.81530390682033, 144.9692454072176","{""coordinates"": [[[[144.968900633165, -37.814945380098], [144.969215368681, -37.814852779661], [144.96931209721, -37.815060773175], [144.969329033839, -37.81509718983], [144.969592913317, -37.815664593664], [144.969269916846, -37.8157496278], [144.968900633165, -37.814945380098]]]], ""type"": ""MultiPolygon""}",,,,20147,,,Years 5 - 7,,,Russell Street between Flinders Lane and Collins Street
"-37.81585357855784, 144.955485901307","{""coordinates"": [[[[144.955631452973, -37.815773370231], [144.955647899366, -37.815809240462], [144.955833885575, -37.816214872765], [144.955509760339, -37.816303373791], [144.955137913867, -37.815492093877], [144.955462034028, -37.815403867698], [144.955631452973, -37.815773370231]]]], ""type"": ""MultiPolygon""}",,,,20192,,,Years 5 - 7,,,King Street between Bourke Street and Little Bourke Street
"-37.80500413232825, 144.94856721727592","{""coordinates"": [[[[144.948229368944, -37.804878208369], [144.948281310069, -37.804884083348], [144.948824172956, -37.804941715602], [144.949093077048, -37.804970263283], [144.948869814818, -37.805152147364], [144.948343658844, -37.80509354204], [144.947974301184, -37.804849357325], [144.948229368944, -37.804878208369]]]], ""type"": ""MultiPolygon""}",,,,20994,,,Not determined by precinct plan,,,Victoria Street between Errol Street and Curzon Street
"-37.81963370613639, 144.95802323076228","{""coordinates"": [[[[144.957892562294, -37.819263312099], [144.958026226184, -37.81955443234], [144.958041779756, -37.819588307775], [144.958222071467, -37.819980985028], [144.958155059097, -37.820006583308], [144.958068225451, -37.819817369119], [144.958049810861, -37.81977724399], [144.957823179299, -37.819283398053], [144.957892562294, -37.819263312099]]]], ""type"": ""MultiPolygon""}",,,,20425,,,Complete,,,Highlander Lane between Flinders Street and Flinders Lane
"-37.84084045834996, 144.98595178061473","{""coordinates"": [[[[144.9860149109, -37.840275742796], [144.986120644258, -37.840289345317], [144.985894745551, -37.841393566826], [144.985781840328, -37.841379040231], [144.9860149109, -37.840275742796]]]], ""type"": ""MultiPolygon""}",,,,22485,,,Not determined by precinct plan,,,Punt Road between Pasley Street North and Park Place
"-37.81671375600773, 144.97647532396323","{""coordinates"": [[[[144.976387283951, -37.816630272249], [144.976375799163, -37.81668355704], [144.976339432231, -37.816852292978], [144.976843199031, -37.816920620544], [144.976856655537, -37.816858184784], [144.976912629674, -37.816865780102], [144.97691945827, -37.816869503753], [144.976925944427, -37.816873594592], [144.976932056829, -37.816878032867], [144.976930047426, -37.816887347156], [144.976936995678, -37.816895079024], [144.976943464301, -37.81690303396], [144.976949005141, -37.816911414546], [144.976953572845, -37.816920152184], [144.976957394142, -37.81692912158], [144.976960641243, -37.816945041697], [144.976931705259, -37.817079229096], [144.976940437104, -37.817080413675], [144.976934277103, -37.817108980596], [144.976860838353, -37.817035675951], [144.9767929904, -37.816991478929], [144.976425128346, -37.816941586411], [144.97642225631, -37.816954906919], [144.976299001171, -37.816938189519], [144.976202819592, -37.816844628034], [144.976338313975, -37.816215965943], [144.976472650391, -37.816234186743], [144.976436283946, -37.816402922736], [144.976424607972, -37.816457096414], [144.976387283951, -37.816630272249]]]], ""type"": ""MultiPolygon""}",,,,23219,,,Years 5 - 7,,,Cliveden Close from Wellington Parade South
"-37.78004391917038, 144.94045685116973","{""coordinates"": [[[[144.940092452742, -37.778880215338], [144.940160096859, -37.778885494252], [144.940227974067, -37.778886515343], [144.940295642644, -37.778882690458], [144.940362255248, -37.778872953331], [144.94032593611, -37.778905019248], [144.940308937148, -37.779063671644], [144.940322343888, -37.77957688233], [144.940339819827, -37.779759578941], [144.940376044973, -37.779940616448], [144.94043168038, -37.780118643609], [144.940506315491, -37.780292346684], [144.94059939954, -37.780460443841], [144.940710245621, -37.780621694621], [144.940829573704, -37.78077975697], [144.941005828839, -37.780973568841], [144.941009796159, -37.780977195941], [144.941013947725, -37.780980671555], [144.941018466025, -37.780983845563], [144.941023315885, -37.780986693254], [144.941028459547, -37.780989192458], [144.941033856965, -37.780991323718], [144.941039466121, -37.780993070442], [144.941045243344, -37.780994419031], [144.941051133931, -37.78099541143], [144.941104927777, -37.781001697576], [144.941143580552, -37.780978893975], [144.941111336561, -37.781152707215], [144.941082606354, -37.781122029974], [144.941028811289, -37.781115743795], [144.941009666866, -37.781112518242], [144.940990890897, -37.78110813508], [144.940972661177, -37.781102457981], [144.940955119631, -37.781095531142], [144.940938402823, -37.78108740849], [144.940922640898, -37.781078153263], [144.940907956566, -37.781067837513], [144.940894464149, -37.781056541553], [144.940881570537, -37.781044753276], [144.940705314414, -37.780850942107], [144.940579175408, -37.780683856897], [144.940462002353, -37.780513401398], [144.940363605249, -37.780335708735], [144.940284710209, -37.78015209018], [144.940225899435, -37.779963900734], [144.940187606917, -37.779772529128], [144.940169134128, -37.779579403734], [144.940155726295, -37.779066147964], [144.940130575196, -37.778910349649], [144.940092452742, -37.778880215338]]]], ""type"": ""MultiPolygon""}",,,,22931,,,Complete,,,Bunjil Way between Parkville Avenue and Cade Way
"-37.816967842386426, 144.98889288876688","{""coordinates"": [[[144.987991705141, -37.816557336532], [144.988639280756, -37.816630641098], [144.988879167682, -37.816657795296], [144.989248082888, -37.816699553611], [144.989576162498, -37.816736686208], [144.989911587809, -37.816774068559], [144.989866829588, -37.816957075633], [144.989773587523, -37.8169464711], [144.98942889214, -37.816908741712], [144.989356046729, -37.816899987395], [144.988395267975, -37.816792551773], [144.988236332519, -37.816774815528], [144.988233826799, -37.816774644295], [144.988231314633, -37.816774630031], [144.988228812471, -37.816774791942], [144.988226339881, -37.816775128763], [144.988223916196, -37.81677563786], [144.988221560372, -37.81677631525], [144.988219290829, -37.816777155639], [144.988217125316, -37.816778152452], [144.988215080767, -37.816779297896], [144.98821317317, -37.816780583013], [144.988211417443, -37.816781997753], [144.988209827314, -37.816783531054], [144.98820841522, -37.816785170925], [144.988207192203, -37.816786904541], [144.988206167826, -37.816788718348], [144.988205350099, -37.81679059816], [144.988204745419, -37.816792529277], [144.988204358512, -37.816794496599], [144.988204192406, -37.81679648474], [144.988204248398, -37.816798478154], [144.988204526051, -37.816800461253], [144.988205023193, -37.816802418528], [144.988205735938, -37.816804334673], [144.988206658711, -37.816806194706], [144.988207784296, -37.816807984079], [144.988209103891, -37.816809688801], [144.988210607178, -37.816811295541], [144.988212201705, -37.81681285384], [144.988316836878, -37.81685008854], [144.98836974726, -37.816867814804], [144.988660917714, -37.816966213254], [144.988960050936, -37.817078264677], [144.9891747689, -37.817143648994], [144.989315536567, -37.817189297769], [144.989379761216, -37.817212201212], [144.989451746151, -37.817232541702], [144.989670854358, -37.817285662945], [144.98973414003, -37.817299385173], [144.989698793885, -37.817556716285], [144.989675015167, -37.817549678526], [144.989568742383, -37.817518225157], [144.989383210183, -37.817461886706], [144.989181737603, -37.817392959328], [144.98903403847, -37.817337866609], [144.988867223957, -37.817275538774], [144.988725919262, -37.817222057156], [144.988462928581, -37.817125073897], [144.988374651199, -37.817091691963], [144.988304606553, -37.817063459], [144.98806581752, -37.816974366328], [144.987929920866, -37.816918851192], [144.987991705141, -37.816557336532]]], ""type"": ""Polygon""}",,,,21951,,,Not determined by precinct plan,,,Wellington Parade between Hoddle Street and Simpson Street
"-37.82871031375794, 144.985744469657","{""coordinates"": [[[[144.986505152293, -37.829067547501], [144.986440099545, -37.829425120532], [144.986015590492, -37.82904136848], [144.985626788825, -37.828747730766], [144.985358783899, -37.828595379931], [144.984932896675, -37.828543727424], [144.985007950204, -37.828154426551], [144.98519866898, -37.828217792076], [144.985383786653, -37.828290864674], [144.985562518915, -37.828373334759], [144.985828478138, -37.828524524564], [144.985865539679, -37.828548854149], [144.986254342455, -37.8288424911], [144.986275844487, -37.828860255196], [144.986505152293, -37.829067547501]]]], ""type"": ""MultiPolygon""}",,,,22278,,,Complete,,,Alexandra Avenue between Anderson Street and Walsh Street
"-37.81810283450256, 144.9613450939103","{""coordinates"": [[[[144.961856395435, -37.817906518405], [144.961896187677, -37.818004057396], [144.961510617506, -37.818117362432], [144.961503369449, -37.81810172502], [144.961440487574, -37.81812007738], [144.961057029599, -37.818231795367], [144.961064267179, -37.818247438932], [144.961012287116, -37.81826257971], [144.961005049546, -37.818246936142], [144.960815313442, -37.81830220773], [144.960773656831, -37.818213431571], [144.960989022063, -37.818150692464], [144.960992460132, -37.818158063235], [144.961028963974, -37.818147434296], [144.961025310437, -37.81813938932], [144.961205344173, -37.818087472979], [144.96120882726, -37.818095066213], [144.96130201056, -37.81806793491], [144.96134007746, -37.81805685171], [144.961335970355, -37.818047619252], [144.961529666071, -37.817991006825], [144.961533955028, -37.818000401933], [144.96156590435, -37.817991098906], [144.961856395435, -37.817906518405]]]], ""type"": ""MultiPolygon""}",,,,20131,,,Years 8 - 10,,,Flinders Lane between Queen Street and Market Street
"-37.79498371452742, 144.94017598502276","{""coordinates"": [[[[144.940487735675, -37.794534465704], [144.940468027735, -37.794645405381], [144.940463051748, -37.794669006796], [144.940455140068, -37.794692089751], [144.940444677036, -37.794714508662], [144.940431744972, -37.79473608714], [144.940416445625, -37.794756655408], [144.940398899369, -37.794776051638], [144.940378231943, -37.794793363384], [144.940317051039, -37.794844689507], [144.940296369901, -37.794862012409], [144.940278812143, -37.794881421269], [144.940263502766, -37.794902002924], [144.940250562224, -37.794923595443], [144.94024009233, -37.794946028937], [144.940232175461, -37.794969126903], [144.94022719637, -37.794992743681], [144.940142493976, -37.795469459951], [144.940152148845, -37.795479657101], [144.940086519558, -37.795472208145], [144.939922966294, -37.795453757805], [144.939935792608, -37.795446105003], [144.94000470228, -37.795058204625], [144.940020440041, -37.794969615031], [144.940027106206, -37.794939680813], [144.940036384219, -37.794910187858], [144.940048228991, -37.794881279487], [144.940065290663, -37.794848347784], [144.940085681247, -37.794816630455], [144.940109264792, -37.794786338969], [144.940135884053, -37.794757675287], [144.94016536155, -37.794730830518], [144.940226545788, -37.794679507235], [144.94023453982, -37.79467281121], [144.940241326549, -37.794665308883], [144.940247244188, -37.794657353222], [144.940252246179, -37.794649006821], [144.940256293165, -37.794640335349], [144.940259353307, -37.794631407032], [144.940261277926, -37.794622278178], [144.940280978054, -37.794511385264], [144.940487735675, -37.794534465704]]]], ""type"": ""MultiPolygon""}",,,,23119,,,Years 8 - 10,,,Buncle Street between Macaulay Road and Caytre Crescent
"-37.834342561531045, 144.9840329384201","{""coordinates"": [[[[144.983827114295, -37.834224487439], [144.984274368781, -37.834280562707], [144.984238224193, -37.834461901198], [144.983789734391, -37.834402747836], [144.983827114295, -37.834224487439]]]], ""type"": ""MultiPolygon""}",,,,22231,,,Years 5 - 7,,,Domain Road between Anderson Street and Marne Street
"-37.826268969590274, 144.96073451088853","{""coordinates"": [[[[144.960535481512, -37.826423491871], [144.960186890886, -37.826069783648], [144.960532430815, -37.825777538873], [144.960569475212, -37.825745931156], [144.961282083459, -37.826466973204], [144.960899288252, -37.826791936369], [144.960871701508, -37.826763877252], [144.9608709548, -37.826764093217], [144.960535481512, -37.826423491871]]]], ""type"": ""MultiPolygon""}",,,,22043,,,Years 8 - 10,,,Kings Way between Kavanagh Street and City Road
